Rank,Player,Position,Age,Team,GP,MPG,FGM,FG%,FT%,3PM,3P%,PTS,TREB,AST,STL,BLK,TO,Rookie
626,Tyler Wahl,ALL,24.4,MIN,,,,,,,,,,,,,,0
635,Max Abmas,ALL,24.4,UTA,,,,,,,,,,,,,,0
504,Jordan Walsh,"SG,SF",21.5,BOS,52,,,0.363,0.565,0.3,,1.6,1.3,0.4,0.2,0.2,0.3,0
572,R.J. Hampton,"PG,SG",24.5,FA,,,,,,,,,,,,,,0
629,Max Fiedler,ALL,24.5,PHI,,,,,,,,,,,,,,0
649,Aaron Estrada,ALL,24.5,DET,,,,,,,,,,,,,,0
508,Patrick Baldwin Jr.,PF,22.7,LAC,24,,,0.541,0.471,0.5,,2.2,1,0.1,0.1,0.1,0.2,0
651,Keisei Tominaga,ALL,24.5,IND,,,,,,,,,,,,,,0
636,Boogie Ellis,ALL,24.7,SAC,,,,,,,,,,,,,,0
633,Josh Oduro,ALL,24.8,NO,,,,,,,,,,,,,,0
487,James Bouknight,SG,24.9,FA,,,,,,,,,,,,,,0
513,Jordan McLaughlin,"PG,SG",29.4,SA,46,,,0.427,0.771,0.4,,2.1,0.7,1.1,0.3,0,0.4,0
514,Chris Boucher,"PF,C",32.6,TOR,50,,,0.491,0.782,1.4,,10,4.5,0.7,0.5,0.5,0.6,0
647,Josiah-Jordan James,ALL,24.9,IND,,,,,,,,,,,,,,0
516,Oshae Brissett,"SF,PF",27.2,PHI,6,,,0.488,0.571,1,,8.7,3.7,0.7,0.7,0.5,1.3,0
624,Jaylin Williams,ALL,25.1,DEN,,,,,,,,,,,,,,0
567,Darius Bazley,PF,25.2,FA,,,,,,,,,,,,,,0
519,TyTy Washington Jr.,PG,23.8,LAC,16,,,0.313,0.5,0.3,,2.2,0.8,1,0.2,0,0.2,0
520,Taj Gibson,"PF,C",40.1,CHA,37,,,0.494,0.593,0,,2.9,3.2,0.6,0.2,0.5,0.7,0
643,Marcus Domask,ALL,25.2,CHI,,,,,,,,,,,,,,0
522,Kevin Knox II,"SF,PF",26,GS,14,,,0.502,0.754,0.3,,3.3,1.2,0.4,0.1,0.3,0.3,0
571,Duane Washington Jr.,SG,25.4,FA,,,,,,,,,,,,,,0
524,Torrey Craig,"SF,PF",34.7,BOS,26,,,0.422,0.674,0.9,,4.2,2.8,0.7,0.3,0.5,0.3,0
525,JD Davison,"PG,SG",22.9,HOU,16,,,0.352,0.705,0.3,,2.1,0.8,0.8,0.3,0.1,0.8,0
526,A.J. Lawson,"SG,SF",25.1,TOR,26,,,0.421,0.682,1.3,,9.1,3.3,1.2,0.5,0.2,0.6,0
605,Taevion Kinsey,ALL,25.4,UTA,,,,,,,,,,,,,,0
630,KJ Jones II,ALL,25.4,BKN,,,,,,,,,,,,,,0
639,Tyrese Samuel,ALL,25.4,PHO,,,,,,,,,,,,,,0
530,Terry Taylor,PF,25.9,SAC,3,,,0,0,0,,0,0.3,0.7,0,0,0,0
642,Armando Bacot,ALL,25.4,MEM,,,,,,,,,,,,,,0
682,Seth Lundy,SF,25.4,LAC,,,,,,,,,,,,,,0
527,Nassir Little,"SF,PF",25.5,MIA,,,,,,,,,,,,,,0
625,Xavier Johnson,ALL,25.5,DAL,,,,,,,,,,,,,,0
535,Damion Lee,"SG,SF",32.8,PHO,25,,,0.365,0.952,0.4,,3.3,0.8,0.4,0.2,0,0.4,0
536,Josh Christopher,"PG,SG",23.7,MIA,14,,,0.357,0.674,0.1,,2,0.6,0.6,0.4,0.2,0.4,0
618,Blake Hinson,ALL,25.6,GS,,,,,,,,,,,,,,0
538,Kevin Love,"PF,C",36.9,UTA,23,,,0.356,0.7,1,,5.3,4.1,1,0.7,0.2,0.6,0
539,Chuma Okeke,"SF,PF",27,CLE,9,,,0.5,0.667,1.2,,5.9,5.2,1.7,0.6,0.4,0.3,0
540,Anthony Gill,"PF,C",32.8,WAS,51,,,0.486,0.663,0.2,,2.5,1.3,0.3,0.2,0,0.2,0
541,Ryan Rollins,PG,23.1,MIL,56,,,0.488,0.8,0.9,,6.2,1.9,1.9,0.8,0.3,0.9,0
542,Braxton Key,"SF,PF",28.5,GS,3,,,0,0.5,0,,1,0.7,0,0.7,0,0.3,0
543,Kessler Edwards,"SF,PF,C",25,DAL,40,,,0.497,0.909,0.6,,4.2,2.9,1.1,0.5,0.5,0.4,0
638,Boo Buie,ALL,25.7,NY,,,,,,,,,,,,,,0
644,Sean East II,ALL,25.7,LAL,,,,,,,,,,,,,,0
546,Isaiah Mobley,"SF,PF",25.9,FA,1,,,0.286,0.5,1,,6,4,5,1,1,0,0
547,Micah Potter,"PF,C",27.4,UTA,38,,,0.423,0.849,0.8,,4.3,4.3,0.8,0.4,0.4,0.8,0
460,Jalen Slawson,SF,25.8,ORL,,,,,,,,,,,,,,0
549,Dominick Barlow,"PF,C",22.2,PHI,35,,,0.529,0.638,0.2,,4.2,2.4,0.5,0.3,0.5,0.1,0
550,Brandon Williams,PG,25.7,DAL,33,,,0.521,0.835,0.7,,8.3,1.7,2.3,0.7,0.2,1.2,0
551,Cory Joseph,PG,34,ORL,50,,,0.403,0.778,0.8,,3.5,1.5,1.4,0.5,0.1,0.4,0
552,Aaron Holiday,"PG,SG",28.9,HOU,62,,,0.438,0.833,1.2,,5.5,1.3,1.3,0.3,0.2,0.6,0
672,Buddy Boeheim,SF,25.8,OKC,,,,,,,,,,,,,,0
554,Jeff Green,"PF,C",39,HOU,32,,,0.505,0.815,0.9,,5.4,1.8,0.6,0.2,0.1,0.3,0
581,Udoka Azubuike,C,25.9,FA,,,,,,,,,,,,,,0
664,Jason Preston,"PG,SG",26,UTA,,,,,,,,,,,,,,0
557,Joe Ingles,"SG,SF",37.9,MIN,18,,,0.258,0,0.2,,0.8,0.6,1.3,0.1,0,0.5,0
561,Troy Brown Jr.,"SF,PF",26.1,FA,,,,,,,,,,,,,,0
559,Alex Len,C,32.2,LAL,46,,,0.511,0.459,0,,1.6,2.1,0.8,0.2,0.5,0.4,0
560,Jack McVeigh,ALL,29.1,HOU,9,,,0.296,0,0.4,,1.6,0.6,0.1,0,0.2,0.2,0
506,Saben Lee,PG,26.2,FA,,,,,,,,,,,,,,0
595,Alex O'Connell,ALL,26.2,NY,,,,,,,,,,,,,,0
563,Garrison Mathews,"SG,SF",28.8,ATL,47,,,0.397,0.819,1.8,,7.5,1.9,1.3,0.6,0.3,0.7,0
606,Leaky Black,ALL,26.2,CHA,,,,,,,,,,,,,,0
565,Hunter Tyson,"SF,PF",25.2,DEN,51,,,0.374,0.745,0.5,,2.6,1.5,0.4,0.2,0.1,0.3,0
662,Nate Hinton,"SG,SF",26.2,HOU,,,,,,,,,,,,,,0
627,Quincy Guerrier,ALL,26.3,TOR,,,,,,,,,,,,,,0
568,P.J. Tucker,SF,40.3,NY,3,,,0.429,0,1,,3,2.7,0,0.3,0.3,0.3,0
361,Saddiq Bey,"SF,PF",26.4,NO,,,,,,,,,,,,,,0
607,Onuralp Bitim,ALL,26.4,CHI,,,,,,,,,,,,,,0
544,Olivier Sarr,C,26.5,FA,,,,,,,,,,,,,,0
646,Gabe McGlothan,ALL,26.5,DEN,,,,,,,,,,,,,,0
574,Patty Mills,"PG,SG",37,LAC,29,,,0.375,0.938,0.9,,3.8,0.8,0.9,0.4,0.1,0.6,0
592,Jermaine Samuels Jr.,ALL,26.8,HOU,,,,,,,,,,,,,,0
529,Jordan Nwora,"SF,PF",26.9,FA,,,,,,,,,,,,,,0
511,Hamidou Diallo,SG,27,FA,,,,,,,,,,,,,,0
463,Isaiah Livers,"SF,PF",27.1,PHO,,,,,,,,,,,,,,0
660,Frank Ntilikina,PG,27.1,FA,,,,,,,,,,,,,,0
458,Omer Yurtseven,C,27.2,FA,,,,,,,,,,,,,,0
531,Isaiah Roby,"PF,C",27.5,FA,,,,,,,,,,,,,,0
653,Samkelo Cele,ALL,27.6,NY,,,,,,,,,,,,,,0
583,Vlatko Cancar,PF,28.4,DEN,13,,,0.385,0,0.3,,1.8,2.5,0.7,0.2,0.2,0.8,0
584,PJ Dozier,SG,28.8,MIN,9,,,0.667,0.164,0.2,,0.8,0.6,0.6,0.1,0,0.1,0
510,Dennis Smith Jr.,"PG,SG",27.7,FA,,,,,,,,,,,,,,0
586,Mason Jones,SG,27.1,SAC,10,,,0.5,0.8,0.1,,2.3,0.9,1.1,0,0.1,0.1,0
491,Kobi Simmons,PG,28.1,FA,,,,,,,,,,,,,,0
588,D.J. Carton,ALL,25,TOR,4,,,0.143,1,0,,0.8,1,0.8,0.5,0,1,0
589,David Duke Jr.,ALL,25.8,SA,6,,,0.429,0.515,0.5,,2.7,0.8,0.7,0.2,0,0.3,0
590,Keaton Wallace,PG,26.5,ATL,31,,,0.402,1,0.9,,5.4,1.6,2.6,0.9,0.3,1.1,0
591,Jeff Dowtin Jr.,PG,28.3,PHI,41,,,0.487,0.727,0.7,,7,1.5,1.9,0.6,0.3,0.4,0
528,Kevon Harris,SG,28.1,HOU,,,,,,,,,,,,,,0
593,Quenton Jackson,ALL,26.9,IND,28,,,0.475,0.776,0.5,,5.8,1.6,1.9,0.8,0.2,0.6,0
594,Daeqwon Plowden,SG,27,ATL,6,,,0.64,1,1.5,,7.2,1.8,0.3,0,0,0.7,0
569,Furkan Korkmaz,"SG,SF",28.1,FA,,,,,,,,,,,,,,0
596,Jaylen Clark,SG,23.8,MIN,40,,,0.467,0.785,0.6,,4.1,1.3,0.7,0.9,0.1,0.2,0
597,Colin Castleton,C,25.2,TOR,26,,,0.469,0.767,0.1,,4.7,4.7,1.1,0.3,0.4,0.9,0
381,Chimezie Metu,"PF,C",28.4,FA,,,,,,,,,,,,,,0
599,Jaylen Martin,ALL,21.6,WAS,16,,,0.419,0.889,0.4,,4.9,2.8,1.1,0.6,0,0.8,0
600,Jacob Toppin,ALL,25.3,ATL,17,,,0.411,0,0.3,,1.4,0.9,0.4,0.1,0,0.2,0
601,Drew Peterson,ALL,25.8,CHA,25,,,0.415,0.778,0.5,,2.2,1.6,0.5,0.2,0.1,0.3,0
602,Jazian Gortman,ALL,22.3,DAL,16,,,0.389,0.52,0.3,,1.5,0.3,0.4,0.1,0.1,0.3,0
603,Adam Flagler,ALL,25.7,OKC,37,,,0.263,0.6,0.4,,1.8,0.7,0.3,0.2,0.1,0.1,0
604,Oscar Tshiebwe,"PF,C",25.7,UTA,14,,,0.6,0.742,0,,7.6,8.7,0.6,0.9,0.1,0.7,0
509,Admiral Schofield,"SF,PF",28.4,FA,,,,,,,,,,,,,,0
555,Wenyen Gabriel,"PF,C",28.4,FA,,,,,,,,,,,,,,0
665,Eugene Omoruyi,"SF,PF",28.5,MIN,,,,,,,,,,,,,,0
663,Mamadi Diakite,PF,28.6,PHO,,,,,,,,,,,,,,0
609,Justin Edwards,SF,21.7,PHI,44,,,0.455,0.695,1.6,,10.1,3.4,1.6,1,0.4,1.1,0
610,Antonio Reeves,SG,24.7,CHA,44,,,0.456,0.8,1.2,,6.9,1.4,0.9,0.5,0.1,0.7,0
611,Harrison Ingram,SF,22.7,SA,5,,,0.5,0,0,,0.8,1.8,0.6,0.6,0,0.2,0
656,Dylan Windler,SF,28.9,FA,,,,,,,,,,,,,,0
613,Anton Watson,ALL,24.9,NY,9,,,0.44,0,0,,0.9,0.3,0.2,0.1,0,0.2,0
614,N'Faly Dante,C,23.8,HOU,4,,,0.769,0.8,0,,6,5.3,0.5,0.3,1.3,0.5,0
615,Isaiah Crawford,ALL,23.8,HOU,15,,,0.452,0.481,0.1,,0.9,0.5,0.1,0.1,0.1,0.1,0
616,Armel Traore,ALL,22.6,LAL,9,,,0.318,0.282,0,,1.6,1.7,0.1,0.4,0.2,0.3,0
617,Reece Beekman,PG,23.9,BKN,36,,,0.327,0.759,0.2,,2.6,1.1,1.8,0.9,0.1,0.6,0
505,Keita Bates-Diop,"SF,PF",29.6,NY,,,,,,,,,,,,,,0
619,Isaac Jones,C,25.1,SAC,40,,,0.649,0.644,0.1,,3.4,1.4,0.3,0.1,0.3,0.4,0
620,Daniss Jenkins,ALL,24,DET,7,,,0.301,0,0.1,,1,0.3,0.4,0,0,0.1,0
621,Trentyn Flowers,ALL,20.4,LAC,6,,,0.366,1,0,,1.8,0.7,0,0,0,0.2,0
622,Branden Carlson,ALL,26.2,OKC,32,,,0.442,0.786,0.7,,3.8,1.7,0.4,0.2,0.7,0.2,0
623,Alex Ducas,ALL,24.7,OKC,21,,,0.399,1,0.5,,1.7,1.2,0.2,0.2,0,0.2,0
585,Malcolm Hill,ALL,29.8,NO,,,,,,,,,,,,,,0
432,Christian Wood,"PF,C",29.9,LAL,,,,,,,,,,,,,,0
518,Aleksandar Vezenkov,"SF,PF",30,FA,,,,,,,,,,,,,,0
564,Damian Jones,C,30.1,FA,,,,,,,,,,,,,,0
628,Quincy Olivari,ALL,24.2,LAL,2,,,0.2,0,0.5,,1.5,0,0.5,0,0,0.5,0
512,Cedi Osman,"SF,PF",30.4,FA,,,,,,,,,,,,,,0
429,Devonte' Graham,"PG,SG",30.5,POR,,,,,,,,,,,,,,0
631,Malevy Leons,ALL,25.9,OKC,6,,,0,0.493,0,,0.3,0.5,0.2,0,0,0.2,0
532,Yuta Watanabe,"SF,PF",30.8,FA,,,,,,,,,,,,,,0
517,Ishmail Wainright,"SF,PF",30.9,FA,,,,,,,,,,,,,,0
634,Jamison Battle,ALL,24.3,TOR,59,,,0.43,0.871,1.8,,7.1,2.7,0.9,0.3,0.2,0.5,0
453,Nerlens Noel,C,31.4,FA,,,,,,,,,,,,,,0
576,Montrezl Harrell,C,31.6,FA,,,,,,,,,,,,,,0
637,Jacky Cui,ALL,22.2,BKN,5,,,0.143,0.5,0,,0.6,0.4,0,0,0,0,0
534,Danuel House Jr.,SF,32.2,FA,,,,,,,,,,,,,,0
575,Otto Porter Jr.,"SG,SF",32.2,FA,,,,,,,,,,,,,,0
451,Juan Toscano-Anderson,SF,32.4,FA,,,,,,,,,,,,,,0
641,RayJ Dennis,ALL,24.4,IND,11,,,0.333,1,0.6,,2.7,1.1,1.3,0.6,0.2,0.5,0
533,Davis Bertans,"PF,C",32.8,FA,,,,,,,,,,,,,,0
562,Evan Fournier,"SG,SF",32.8,FA,,,,,,,,,,,,,,0
556,Cody Zeller,C,32.9,HOU,,,,,,,,,,,,,,0
645,Jahmir Young,ALL,25,CHI,6,,,0.807,1,0.2,,1.8,0.5,1,0,0,0.2,0
566,Khem Birch,C,32.9,FA,,,,,,,,,,,,,,0
545,Thanasis Antetokounmpo,SF,33.1,FA,,,,,,,,,,,,,,0
648,Isaiah Stevens,ALL,24.8,SAC,3,,,0,0,0,,0,0.7,0,0.3,0,0,0
521,Victor Oladipo,"PG,SG",33.3,FA,,,,,,,,,,,,,,0
650,Emanuel Miller,ALL,25.2,CHI,6,,,0.504,1,0,,1.7,1.3,0.3,0.2,0,0,0
537,Joe Harris,"SG,SF",33.9,FA,,,,,,,,,,,,,,0
652,Spencer Jones,ALL,24.2,DEN,20,,,0.324,1,0.1,,1.3,0.9,0.3,0.3,0.3,0.3,0
655,Mike Muscala,"PF,C",34.1,FA,,,,,,,,,,,,,,0
582,Reggie Bullock,"SF,PF",34.4,FA,,,,,,,,,,,,,,0
498,Robert Covington,"SF,PF",34.7,FA,,,,,,,,,,,,,,0
548,Marcus Morris Sr.,"PF,C",36,NY,,,,,,,,,,,,,,0
657,Moses Brown,C,25.8,DAL,13,,,0.695,0.729,0,,5.8,3.4,0.2,0.5,0.3,0.8,0
658,Jae Crowder,"SF,PF",35.1,SAC,9,,,0.32,0.836,0.4,,2.6,2.2,0.7,0.3,0,0.4,0
426,Bojan Bogdanovic,"SF,PF",36.3,BKN,,,,,,,,,,,,,,0
553,Justin Holiday,"SG,SF",36.4,FA,,,,,,,,,,,,,,0
661,Garrett Temple,SG,39.3,TOR,28,,,0.299,0.907,0.2,,1.9,1,1.1,0.6,0.1,0.4,0
580,Derrick Rose,PG,36.9,MEM,,,,,,,,,,,,,,0
523,Danilo Gallinari,SF,37,FA,,,,,,,,,,,,,,0
654,Thaddeus Young,"PF,C",37.2,FA,,,,,,,,,,,,,,0
558,Robin Lopez,C,37.4,FA,,,,,,,,,,,,,,0
666,Daishen Nix,PG,23.5,SAC,3,,,0,0.493,0,,0.3,1.3,1,0,0,1.3,0
667,Lindy Waters III,"SG,SF",28.1,SA,52,,,0.37,0.714,1.2,,4.9,2.1,1,0.5,0.2,0.4,0
668,Matt Ryan,SF,28.3,NY,19,,,0.325,1,0.3,,1.5,0.4,0.2,0.1,0,0.2,0
669,EJ Liddell,PF,24.7,CHI,12,,,0.536,1,0.3,,1.8,0.8,0.3,0.1,0,0.2,0
577,JaVale McGee,C,37.6,FA,,,,,,,,,,,,,,0
671,Gui Santos,"SF,PF",23.2,GS,56,,,0.456,0.693,0.6,,4.1,3.1,1.4,0.4,0.2,0.8,0
659,Danny Green,SG,38.2,FA,,,,,,,,,,,,,,0
673,Alondes Williams,SG,26.2,DET,1,,,1,0,1,,5,0,1,0,0,0,0
674,Cole Swider,PF,26.3,DET,10,,,0.349,0,1.5,,5.9,2.7,0.3,0.4,0.2,0.4,0
675,Stanley Umude,SF,26.3,MIL,22,,,0.195,0.5,0.1,,0.7,0.8,0.2,0.1,0.3,0.1,0
676,Jamal Cain,"SF,PF",26.4,ORL,37,,,0.431,0.681,0.7,,5.3,2.4,0.6,0.6,0.2,0.6,0
677,Jamaree Bouyea,PG,26.1,MIL,5,,,0.5,0.667,0.2,,3.4,1,2,0.8,0.4,1.6,0
678,Nate Williams,"PG,SG",26.5,HOU,20,,,0.435,0.625,0.3,,3.3,0.7,0.5,0.4,0.2,0.7,0
679,Justin Minaya,"SG,SF",26.4,POR,19,,,0.378,0,0.1,,0.9,0.5,0.4,0.3,0.1,0.3,0
680,Julian Phillips,"SF,PF",21.8,CHI,79,,,0.446,0.792,0.6,,4.6,2.1,0.5,0.5,0.3,0.3,0
681,Maxwell Lewis,SF,23.1,BKN,28,,,0.417,0.694,0.7,,4.1,2,0.7,0.3,0.3,0.5,0
515,Wesley Matthews,SG,38.8,FA,,,,,,,,,,,,,,0
683,Jordan Miller,SF,25.6,LAC,37,,,0.434,0.8,0.2,,4.1,1.6,0.9,0.5,0.1,0.7,0
684,Chris Livingston,"SF,PF",21.8,MIL,21,,,0.333,0.75,0,,1.4,1.7,0.2,0.2,0,0.3,0
685,Adama Sanogo,C,23.5,CHI,4,,,0.571,0,0,,2,1.5,0.3,0,0,0.3,0
686,Tristan Thompson,"PF,C",34.4,CLE,41,,,0.439,0.233,0,,1.7,3.3,0.6,0,0.3,0.3,0
688,James Johnson,PF,38.5,IND,12,,,0.359,0,0,,0.7,0.5,0.3,0,0.2,0.3,0
690,DeAndre Jordan,C,37.1,DEN,56,,,0.652,0.421,0,,3.7,5.1,0.9,0.3,0.5,0.7,0
