Rank,Player,Position,Age,Team,GP,MPG,FGM,FG%,FT%,3PM,3P%,PTS,TREB,AST,STL,BLK,TO,Rookie
147,Kasparas Jakucionis,ALL,19.2,MIA,,,,,,,,,,,,,,1
122,Kyshawn George,"SG,SF",21.7,WAS,68,,,0.372,0.752,1.7,,8.7,4.2,2.5,1,0.7,1.4,0
197,Nolan Traore,ALL,19.2,BKN,,,,,,,,,,,,,,1
124,Jaden Ivey,"PG,SG",23.5,DET,30,,,0.46,0.731,2.1,,17.6,4.1,4,0.9,0.4,3,0
125,Malik Monk,"PG,SG,SF",27.5,SAC,65,,,0.439,0.865,2.1,,17.2,3.8,5.6,1,0.6,2.4,0
126,Nikola Vucevic,"PF,C",34.8,CHI,73,,,0.53,0.804,1.8,,18.5,10.1,3.5,0.8,0.7,1.6,0
127,Daniel Gafford,"PF,C",26.9,DAL,57,,,0.702,0.689,0,,12.3,6.8,1.4,0.4,1.8,1.2,0
304,Ben Saraf,ALL,19.3,BKN,,,,,,,,,,,,,,1
98,Tre Johnson,ALL,19.4,WAS,,,,,,,,,,,,,,1
130,Herbert Jones,"SF,PF",26.9,NO,20,,,0.436,0.825,1.1,,10.3,3.9,3.3,1.9,0.5,1.8,0
131,P.J. Washington,"SF,PF",27,DAL,57,,,0.452,0.723,1.6,,14.7,7.7,2.3,1.1,1.1,2.1,0
132,Andrew Nembhard,"PG,SG",25.6,IND,65,,,0.458,0.794,0.8,,10,3.3,5,1.2,0.2,1.7,0
133,Taylor Hendricks,"SF,PF",21.7,UTA,3,,,0.222,0.752,1,,4.7,5,0.7,1.7,1.3,0.7,0
134,Jaylen Wells,SF,22,MEM,79,,,0.425,0.825,1.8,,10.4,3.4,1.7,0.6,0.1,0.9,0
135,Norman Powell,"SG,SF",32.2,MIA,60,,,0.484,0.803,3,,21.8,3.2,2.1,1.2,0.2,1.8,0
136,Damian Lillard,PG,35.1,POR,58,,,0.448,0.92,3.4,,24.9,4.7,7.1,1.2,0.2,2.8,0
137,Isaiah Collier,"PG,SG",20.9,UTA,71,,,0.422,0.682,0.6,,8.7,3.3,6.3,0.9,0.2,2.9,0
138,Cason Wallace,"PG,SG",21.8,OKC,68,,,0.474,0.815,1.1,,8.4,3.4,2.5,1.8,0.5,0.9,0
139,Bennedict Mathurin,"SG,SF",23.2,IND,72,,,0.458,0.831,1.4,,16.1,5.3,1.9,0.7,0.3,1.9,0
140,Aaron Nesmith,"SF,PF",25.8,IND,45,,,0.507,0.91,1.9,,12,4,1.2,0.8,0.4,0.8,0
141,Collin Sexton,"PG,SG",26.6,CHA,63,,,0.48,0.864,1.8,,18.4,2.7,4.2,0.7,0.1,2.5,0
142,Keon Ellis,"PG,SG,SF",25.6,SAC,80,,,0.491,0.843,1.7,,8.3,2.6,1.5,1.5,0.8,0.9,0
143,Donte DiVincenzo,"PG,SG,SF",28.5,MIN,62,,,0.421,0.775,2.8,,11.7,3.7,3.6,1.2,0.3,1.6,0
144,Yves Missi,C,21.3,NO,73,,,0.547,0.624,0,,9.1,8.2,1.4,0.5,1.3,1.1,0
145,John Collins,"PF,C",27.9,LAC,40,,,0.527,0.849,1.5,,19,8.2,2,1,1,2.6,0
146,Aaron Gordon,"PF,C",29.9,DEN,51,,,0.531,0.809,1.5,,14.7,4.8,3.2,0.5,0.3,1.4,0
33,Dylan Harper,ALL,19.5,SA,,,,,,,,,,,,,,1
121,Egor Demin,ALL,19.5,BKN,,,,,,,,,,,,,,1
274,Will Riley,ALL,19.5,WAS,,,,,,,,,,,,,,1
150,Isaiah Jackson,"PF,C",23.6,IND,5,,,0.609,0.5,0,,7,5.6,1,0.6,1.6,1,0
299,Hugo González,ALL,19.5,BOS,,,,,,,,,,,,,,1
152,Jeremy Sochan,"SF,PF,C",22.2,SA,54,,,0.535,0.697,0.5,,11.4,6.5,2.4,0.8,0.5,1.5,0
153,Ayo Dosunmu,"PG,SG,SF",25.6,CHI,46,,,0.492,0.785,1.4,,12.3,3.5,4.5,0.9,0.4,1.5,0
154,Santi Aldama,"PF,C",24.6,MEM,65,,,0.483,0.69,1.9,,12.5,6.4,2.9,0.8,0.4,1.1,0
155,Jarace Walker,PF,22,IND,75,,,0.473,0.663,1,,6.1,3.1,1.5,0.7,0.3,1,0
156,CJ McCollum,"PG,SG",33.9,WAS,56,,,0.444,0.715,3.1,,21.1,3.8,4.1,0.8,0.4,1.9,0
157,Thomas Sorber,ALL,19.6,OKC,,,,,,,,,,,,,,1
151,Carter Bryant,ALL,19.7,SA,,,,,,,,,,,,,,1
159,Kyle Filipowski,"PF,C",21.8,UTA,72,,,0.502,0.648,1.1,,9.6,6.1,1.9,0.7,0.3,1.4,0
218,Jase Richardson,ALL,19.8,ORL,,,,,,,,,,,,,,1
161,Cam Whitmore,"SF,PF",21.1,WAS,51,,,0.444,0.752,1.3,,9.4,3,1,0.6,0.3,0.9,0
162,Ron Holland II,SF,20.1,DET,81,,,0.473,0.755,0.4,,6.4,2.7,1,0.6,0.2,0.9,0
163,Anthony Black,"PG,SG",21.6,ORL,78,,,0.422,0.759,0.8,,9.4,3,3.1,1.1,0.6,1.8,0
164,Tobias Harris,"SF,PF",33.1,DET,73,,,0.477,0.863,1.3,,13.7,5.9,2.2,1,0.8,1.2,0
165,Miles McBride,"PG,SG",24.9,NY,64,,,0.406,0.81,1.8,,9.5,2.5,2.9,1,0.3,0.6,0
232,Drake Powell,ALL,19.9,BKN,,,,,,,,,,,,,,1
257,Asa Newell,ALL,19.9,ATL,,,,,,,,,,,,,,1
168,Bradley Beal,"PG,SG,SF",32.1,LAC,53,,,0.497,0.806,1.9,,17,3.3,3.7,1.1,0.5,1.9,0
